井名	深度	SH	SS	RT	RT	PERM2024	PERM	POR2024	POR	SW	SW2024	AC	SP	CAL	GR	DEN	CNL	RT	解释结论	层位
耿181	2374.250	61.918	38.082	15.469	16.913	0.0	0.01	0.0	0.1	99.9	0.0	222.938	103.098	21.575	115.731	2.642	19.305	15.469		长4+5!1^(1_1)
耿181	2374.375	65.427	34.573	14.925	15.475	0.0	0.01	0.0	0.1	99.9	0.0	231.249	103.275	21.638	118.335	2.632	22.244	14.925		长4+5!1^(1_1)
耿181	2374.500	73.691	26.309	14.353	13.651	0.0	0.01	0.0	0.1	99.9	0.0	245.04	103.515	21.798	124.145	2.564	24.665	14.353		长4+5!1^(1_1)
耿181	2374.625	91.874	8.126	13.871	12.185	0.0	0.01	0.0	0.1	99.9	0.0	262.525	103.823	22.024	136.765	2.418	27.574	13.871		长4+5!1^(1_1)
耿181	2374.750	99.9	0.1	13.468	11.56	0.0	0.01	0.0	0.1	99.9	0.0	279.183	104.18	22.207	149.905	2.267	33.23	13.468		长4+5!1^(1_1)
耿181	2374.875	99.9	0.1	13.071	11.742	0.0	0.01	0.0	0.1	99.9	0.0	292.161	104.579	22.283	156.034	2.146	40.685	13.071		长4+5!1^(1_1)
耿181	2375.000	99.9	0.1	12.592	12.275	0.0	0.01	0.0	0.1	99.9	0.0	299.174	105.011	22.258	151.044	2.075	46.106	12.592		长4+5!1^(1_1)
耿181	2375.125	99.551	0.449	11.989	12.435	0.0	0.01	0.0	0.1	99.9	0.0	298.238	105.471	22.223	142.702	2.078	44.391	11.989		长4+5!1^(1_1)
耿181	2375.250	96.037	3.963	11.374	11.962	0.0	0.01	0.0	0.1	99.9	0.0	291.882	105.943	22.271	137.816	2.132	37.852	11.374		长4+5!1^(1_1)
耿181	2375.375	90.317	9.683	10.871	11.065	0.0	0.01	0.0	0.1	99.9	0.0	281.527	106.42	22.39	134.559	2.212	30.556	10.871		长4+5!1^(1_2)
耿181	2375.500	83.096	16.904	10.579	10.185	0.0	0.01	0.0	0.1	99.9	0.0	270.653	106.892	22.476	130.221	2.304	26.493	10.579		长4+5!1^(1_2)
耿181	2375.625	79.125	20.875	10.572	9.764	0.0	0.01	0.0	0.1	99.9	0.0	264.072	107.351	22.424	127.715	2.403	27.216	10.572		长4+5!1^(1_2)
耿181	2375.750	82.116	17.884	10.779	9.801	0.0	0.01	0.0	0.1	99.9	0.0	262.953	107.787	22.285	129.595	2.491	28.765	10.779		长4+5!1^(1_2)
耿181	2375.875	87.22	12.78	11.122	10.199	0.0	0.01	0.0	0.1	99.9	0.0	267.449	108.196	22.128	132.718	2.532	29.288	11.122		长4+5!1^(1_2)
耿181	2376.000	92.249	7.751	11.511	10.869	0.0	0.01	0.0	0.1	99.9	0.0	275.402	108.574	22.01	135.68	2.539	28.92	11.511		长4+5!1^(1_2)
耿181	2376.125	97.579	2.421	11.869	11.707	0.0	0.01	0.0	0.1	99.9	0.0	283.526	108.908	21.95	139.514	2.533	30.947	11.869		长4+5!1^(1_2)
耿181	2376.250	99.9	0.1	12.169	12.48	0.0	0.01	0.0	0.1	99.9	0.0	290.12	109.2	21.91	147.924	2.503	36.342	12.17		长4+5!1^(1_2)
耿181	2376.375	99.9	0.1	12.427	13.005	0.0	0.01	0.0	0.1	99.9	0.0	293.917	109.449	21.87	160.749	2.445	41.464	12.427		长4+5!1^(1_2)
耿181	2376.500	99.9	0.1	12.69	13.216	0.0	0.01	0.0	0.1	99.9	0.0	293.981	109.652	21.839	169.741	2.396	42.245	12.69		长4+5!1^(1_2)
耿181	2376.625	99.9	0.1	13.06	13.269	0.0	0.01	0.0	0.1	99.9	0.0	289.665	109.801	21.838	163.038	2.379	38.502	13.06		长4+5!1^(1_2)
耿181	2376.750	99.9	0.1	13.578	13.481	0.0	0.01	0.0	0.1	99.9	0.0	281.264	109.903	21.85	147.341	2.393	35.594	13.579		长4+5!1^(1_2)
耿181	2376.875	90.321	9.679	14.233	13.997	0.0	0.01	0.0	0.1	99.9	0.0	270.82	109.959	21.853	134.714	2.433	34.357	14.233		长4+5!1^(1_2)
耿181	2377.000	80.628	19.372	14.966	14.771	0.0	0.01	0.0	0.1	99.9	0.0	259.616	109.969	21.841	128.675	2.496	32.795	14.966		长4+5!1^(1_2)
耿181	2377.125	71.136	28.864	15.686	15.646	0.0	0.01	0.0	0.1	99.9	0.0	249.775	109.928	21.82	122.361	2.546	29.163	15.686		长4+5!1^(1_2)
耿181	2377.250	60.338	39.662	16.309	16.49	0.0	0.01	0.0	0.1	99.9	0.0	240.617	109.847	21.801	114.481	2.58	24.487	16.31		长4+5!1^(1_2)
耿181	2377.375	52.219	47.781	16.785	17.254	0.0	0.01	0.0	0.1	99.9	0.0	232.806	109.727	21.789	107.973	2.603	20.184	16.785		长4+5!1^(1_2)
耿181	2377.500	44.01	55.99	17.09	17.865	0.0	0.01	0.0	0.1	99.9	0.0	227.224	109.572	21.782	100.715	2.61	17.115	17.09		长4+5!1^(1_2)
耿181	2377.625	32.597	67.403	17.193	18.133	0.0	0.01	0.0	0.1	99.9	0.0	223.373	109.38	21.778	89.1	2.617	15.731	17.193		长4+5!1^(1_2)
耿181	2377.750	24.065	75.935	17.136	17.979	0.0	0.01	0.0	0.1	99.9	0.0	221.441	109.16	21.775	79.158	2.628	15.391	17.136		长4+5!1^(1_2)
耿181	2377.875	22.675	77.325	16.963	17.394	0.0	0.01	0.0	0.1	99.9	0.0	221.54	108.915	21.774	77.429	2.639	16.024	16.963		长4+5!1^(1_2)
耿181	2378.000	27.385	72.615	16.732	16.499	0.0	0.01	0.0	0.1	99.9	0.0	224.044	108.651	21.774	83.258	2.643	17.328	16.732		长4+5!1^(1_2)
耿181	2378.125	33.602	66.398	16.501	15.543	0.0	0.01	0.0	0.1	99.9	0.0	229.419	108.366	21.777	90.245	2.65	19.448	16.501		长4+5!1^(1_2)
耿181	2378.250	40.037	59.963	16.297	14.819	0.0	0.01	0.0	0.1	99.9	0.0	236.038	108.069	21.783	96.847	2.653	21.973	16.297		长4+5!1^(1_2)
耿181	2378.375	48.873	51.127	16.116	14.483	0.0	0.01	0.0	0.1	99.9	0.0	242.814	107.762	21.787	105.032	2.652	24.088	16.116		长4+5!1^(1_2)
耿181	2378.500	62.414	37.586	15.939	14.557	0.0	0.01	0.0	0.1	99.9	0.0	248.767	107.448	21.789	116.113	2.648	25.345	15.939		长4+5!1^(1_2)
耿181	2378.625	75.951	24.049	15.745	14.957	0.0	0.01	0.0	0.1	99.9	0.0	252.189	107.13	21.788	125.621	2.635	25.999	15.745		长4+5!1^(1_2)
耿181	2378.750	79.85	20.15	15.532	15.431	0.0	0.01	0.0	0.1	99.9	0.0	252.533	106.812	21.789	128.184	2.61	26.268	15.532		长4+5!1^(1_2)
耿181	2378.875	72.462	27.538	15.313	15.827	0.0	0.01	0.0	0.1	99.9	0.0	250.125	106.496	21.792	123.281	2.58	25.287	15.313		长4+5!1^(1_2)
耿181	2379.000	59.769	40.231	15.113	16.039	0.0	0.01	0.0	0.1	99.9	0.0	246.116	106.184	21.798	114.092	2.555	23.302	15.113		长4+5!1^(1_2)
耿181	2379.125	51.916	48.084	14.971	15.969	0.0	0.01	0.0	0.1	99.9	0.0	243.568	105.881	21.803	107.736	2.538	21.787	14.971		长4+5!1^(1_2)
耿181	2379.250	52.711	47.289	14.899	15.678	0.0	0.01	0.0	0.1	99.9	0.0	243.327	105.589	21.807	108.37	2.528	21.733	14.899		长4+5!1^(1_2)
耿181	2379.375	63.273	36.727	14.887	15.271	0.0	0.01	0.0	0.1	99.9	0.0	245.048	105.312	21.809	116.647	2.522	24.002	14.887		长4+5!1^(1_2)
耿181	2379.500	80.7	19.3	14.907	14.899	0.0	0.01	0.0	0.1	99.9	0.0	247.329	105.054	21.808	128.721	2.526	27.466	14.907		长4+5!1^(1_2)
耿181	2379.625	91.597	8.403	14.915	14.716	0.0	0.01	0.0	0.1	99.9	0.0	249.587	104.825	21.805	135.304	2.532	28.572	14.915		长4+5!1^(1_2)
耿181	2379.750	86.305	13.695	14.889	14.723	0.0	0.01	0.0	0.1	99.9	0.0	250.898	104.626	21.798	132.122	2.539	26.64	14.889		长4+5!1^(1_2)
耿181	2379.875	69.253	30.747	14.83	14.878	0.0	0.01	0.0	0.1	99.9	0.0	250.278	104.463	21.789	120.968	2.552	23.883	14.83		长4+5!1^(1_2)
耿181	2380.000	52.956	47.044	14.772	15.142	0.0	0.01	0.0	0.1	99.9	0.0	247.487	104.342	21.779	108.611	2.571	22.164	14.772		长4+5!1^(1_2)
耿181	2380.125	45.861	54.139	14.784	15.54	0.0	0.01	0.0	0.1	99.9	0.0	243.552	104.278	21.771	102.42	2.572	20.932	14.784		长4+5!1^(1_2)
耿181	2380.250	43.776	56.224	14.91	16.082	0.0	0.01	0.0	0.1	99.9	0.0	240.155	104.269	21.767	100.497	2.57	19.969	14.91		长4+5!1^(1_2)
耿181	2380.375	43.873	56.127	15.174	16.759	0.0	0.01	0.0	0.1	99.9	0.0	238.085	104.318	21.768	100.587	2.556	20.003	15.174		长4+5!1^(1_2)
耿181	2380.500	43.211	56.789	15.566	17.507	0.0	0.01	0.0	0.1	99.9	0.0	237.421	104.429	21.773	99.967	2.538	21.319	15.566		长4+5!1^(1_2)
耿181	2380.625	36.982	63.018	16.039	18.189	0.0	0.01	0.0	0.1	99.9	0.0	238.904	104.614	21.78	93.776	2.521	23.109	16.039		长4+5!1^(1_2)
耿181	2380.750	27.074	72.926	16.477	18.656	0.0	0.01	0.0	0.1	99.9	0.0	241.679	104.861	21.787	82.738	2.513	24.267	16.477		长4+5!1^(1_2)
耿181	2380.875	19.547	80.453	16.772	18.791	0.0	0.01	0.0	0.1	99.9	0.0	244.767	105.166	21.793	73.252	2.503	23.864	16.772		长4+5!1^(1_2)
耿181	2381.000	19.285	80.715	16.826	18.527	0.0	0.01	0.0	0.1	99.9	0.0	246.75	105.524	21.795	72.93	2.491	22.192	16.826		长4+5!1^(1_2)
耿181	2381.125	22.87	77.13	16.523	17.803	0.0	0.01	0.0	0.1	99.9	0.0	246.919	105.934	21.796	77.658	2.485	21.81	16.523		长4+5!1^(1_2)
耿181	2381.250	30.312	69.688	15.916	16.748	0.0	0.01	0.0	0.1	99.9	0.0	247.156	106.378	21.8	86.389	2.492	22.051	15.915		长4+5!1^(1_2)
耿181	2381.375	45.232	54.768	15.066	15.424	0.0	0.01	0.0	0.1	99.9	0.0	248.554	106.844	21.822	101.624	2.509	23.925	15.066		长4+5!1^(1_2)
耿181	2381.500	59.501	40.499	14.078	13.917	0.0	0.01	0.0	0.1	99.9	0.0	251.285	107.321	21.889	113.885	2.532	25.569	14.078		长4+5!1^(1_2)
耿181	2381.625	65.137	34.863	13.078	12.373	0.0	0.01	0.0	0.1	99.9	0.0	255.136	107.796	22.02	118.131	2.543	24.864	13.078		长4+5!1^(1_2)
耿181	2381.750	69.899	30.101	12.18	11.018	0.0	0.01	0.0	0.1	99.9	0.0	259.066	108.252	22.186	121.492	2.527	24.628	12.179		长4+5!1^(1_2)
耿181	2381.875	85.305	14.695	11.437	10.016	0.0	0.01	0.0	0.1	99.9	0.0	263.903	108.679	22.347	131.424	2.494	26.978	11.437		长4+5!1^(1_2)
耿181	2382.000	99.9	0.1	10.862	9.441	0.0	0.01	0.0	0.1	99.9	0.0	269.087	109.068	22.453	145.881	2.459	30.452	10.862		长4+5!1^(1_2)
耿181	2382.125	99.9	0.1	10.447	9.267	0.0	0.01	0.0	0.1	99.9	0.0	272.274	109.399	22.452	153.338	2.438	31.958	10.447		长4+5!1^(1_2)
耿181	2382.250	99.9	0.1	10.137	9.277	0.0	0.01	0.0	0.1	99.9	0.0	272.109	109.672	22.363	151.656	2.444	31.674	10.137		长4+5!1^(1_2)
