井名	深度	GR	SP	SH	SS	RT	RT.1	PERM2024	PERM	POR2024	POR	SW	SW2024	AC	DEN	CAL	CNL	RT.2	解释结论	层位
耿219	2422.875	151.83	79.105	99.9	0.1	11.871	11.782	0.0	0.01	0.0	0.1	99.9	0.0	270.17	2.535	23.339	39.463	11.871		长4+5!1^(1_1)
耿219	2423.000	160.635	79.112	99.9	0.1	11.426	11.54	0.0	0.01	0.0	0.1	99.9	0.0	270.378	2.477	23.342	40.494	11.426		长4+5!1^(1_1)
耿219	2423.125	163.947	79.088	99.9	0.1	10.943	11.543	0.0	0.01	0.0	0.1	99.9	0.0	275.415	2.466	23.361	46.51	10.943		长4+5!1^(1_1)
耿219	2423.250	164.714	79.012	99.9	0.1	10.762	11.409	0.0	0.01	0.0	0.1	99.9	0.0	281.559	2.479	23.364	52.348	10.762		长4+5!1^(1_1)
耿219	2423.375	161.748	78.89	99.9	0.1	10.694	11.209	0.0	0.01	0.0	0.1	99.9	0.0	282.705	2.525	23.246	49.655	10.694		长4+5!1^(1_1)
耿219	2423.500	158.436	78.753	99.9	0.1	10.732	11.164	0.0	0.01	0.0	0.1	99.9	0.0	275.44	2.586	23.091	38.162	10.732		长4+5!1^(1_1)
耿219	2423.625	154.604	78.588	99.9	0.1	11.211	12.212	0.0	0.01	0.0	0.1	99.9	0.0	262.382	2.616	22.936	31.411	11.211		长4+5!1^(1_1)
耿219	2423.750	147.943	78.324	99.9	0.1	11.649	13.541	0.0	0.01	0.0	0.1	99.9	0.0	247.576	2.628	22.795	26.841	11.649		长4+5!1^(1_1)
耿219	2423.875	132.333	77.941	85.149	14.851	12.136	14.994	0.0	0.01	0.0	0.1	99.9	0.0	230.362	2.623	22.662	24.128	12.136		长4+5!1^(1_1)
耿219	2424.000	117.06	77.591	60.311	39.689	12.716	16.019	0.0	0.01	0.0	0.1	99.9	0.0	219.782	2.604	22.614	22.986	12.716		长4+5!1^(1_2)
耿219	2424.125	108.219	77.29	48.389	51.611	13.985	16.057	0.0	0.01	0.0	0.1	99.9	0.0	217.716	2.581	22.616	23.167	13.985		长4+5!1^(1_2)
耿219	2424.250	101.199	76.983	40.013	59.987	14.893	15.914	0.0	0.01	0.0	0.1	99.9	0.0	217.01	2.55	22.626	23.154	14.893		长4+5!1^(1_2)
耿219	2424.375	96.602	76.712	34.999	65.001	15.732	16.052	0.0	0.01	0.0	0.1	99.9	0.0	215.598	2.5	22.649	22.58	15.732		长4+5!1^(1_2)
耿219	2424.500	94.66	76.65	32.985	67.015	16.554	16.289	0.0	0.01	0.0	0.1	99.9	0.0	213.761	2.44	22.675	21.479	16.554		长4+5!1^(1_2)
耿219	2424.625	94.335	76.737	32.654	67.346	17.218	16.028	0.0	0.01	0.0	0.1	99.9	0.0	212.711	2.403	22.705	20.961	17.218		长4+5!1^(1_2)
耿219	2424.750	94.344	76.991	32.663	67.337	17.25	15.323	0.0	0.01	0.0	0.1	99.9	0.0	212.542	2.384	22.745	20.748	17.25		长4+5!1^(1_2)
耿219	2424.875	95.953	77.439	34.32	65.68	16.986	14.503	0.0	0.01	0.0	0.1	99.9	0.0	215.414	2.375	22.843	21.356	16.986		长4+5!1^(1_2)
耿219	2425.000	99.344	77.909	37.947	62.053	16.614	13.94	0.0	0.01	0.0	0.1	99.9	0.0	220.925	2.377	22.942	23.689	16.614		长4+5!1^(1_2)
耿219	2425.125	104.411	78.435	43.732	56.268	15.777	14.144	0.0	0.01	0.0	0.1	99.9	0.0	227.283	2.383	23.036	26.913	15.777		长4+5!1^(1_2)
耿219	2425.250	111.996	79.245	53.284	46.716	15.231	14.767	0.0	0.01	0.0	0.1	99.9	0.0	235.142	2.397	23.138	31.733	15.231		长4+5!1^(1_2)
耿219	2425.375	122.418	80.269	68.368	31.632	14.929	15.45	0.0	0.01	0.0	0.1	99.9	0.0	246.751	2.433	23.26	38.212	14.929		长4+5!1^(1_2)
耿219	2425.500	130.923	81.022	82.602	17.398	14.814	16.044	0.0	0.01	0.0	0.1	99.9	0.0	256.965	2.496	23.304	44.845	14.814		长4+5!1^(1_2)
耿219	2425.625	134.228	81.592	88.657	11.343	15.015	17.559	0.0	0.01	0.0	0.1	99.9	0.0	259.007	2.559	23.263	43.659	15.015		长4+5!1^(1_2)
耿219	2425.750	137.49	82.239	94.944	5.056	15.149	19.377	0.0	0.01	0.0	0.1	99.9	0.0	257.3	2.609	23.177	40.58	15.149		长4+5!1^(1_2)
耿219	2425.875	140.466	82.948	99.9	0.1	15.229	21.497	0.0	0.01	0.0	0.1	99.9	0.0	249.558	2.649	23.01	36.663	15.229		长4+5!1^(1_2)
耿219	2426.000	141.071	83.453	99.9	0.1	15.344	23.074	0.0	0.01	0.0	0.1	99.9	0.0	239.153	2.671	22.893	31.649	15.344		长4+5!1^(1_2)
耿219	2426.125	138.38	83.768	96.714	3.286	15.537	21.417	0.0	0.01	0.0	0.1	99.9	0.0	233.413	2.674	22.853	29.809	15.537		长4+5!1^(1_2)
耿219	2426.250	135.164	84.044	90.429	9.571	15.568	18.969	0.0	0.01	0.0	0.1	99.9	0.0	229.401	2.666	22.843	28.442	15.568		长4+5!1^(1_2)
耿219	2426.375	132.219	84.333	84.94	15.06	15.528	16.817	0.0	0.01	0.0	0.1	99.9	0.0	228.052	2.651	22.873	27.387	15.528		长4+5!1^(1_2)
耿219	2426.500	131.419	84.514	83.492	16.508	15.503	14.853	0.0	0.01	0.0	0.1	99.9	0.0	230.193	2.624	22.913	26.425	15.503		长4+5!1^(1_2)
耿219	2426.625	134.478	84.606	89.128	10.872	15.298	12.7	0.0	0.01	0.0	0.1	99.9	0.0	235.303	2.594	22.95	26.763	15.298		长4+5!1^(1_2)
耿219	2426.750	138.19	84.696	96.334	3.666	15.148	11.875	0.0	0.01	0.0	0.1	99.9	0.0	243.046	2.567	22.991	28.434	15.148		长4+5!1^(1_2)
