井名	深度	SH	SS	RT	RT.1	SP	AC	PERM2024	PERM	POR2024	POR	SW	SW2024	GR	CAL	DEN	CNL	RT.2	解释结论	层位
耿60	2365.000	34.197	65.803	23.694	17.208	79.624	220.744	0.0	0.01	0.0	0.1	99.9	0.0	84.083	22.072	2.592	18.27	22.163		长4+5!1^(1_1)
耿60	2365.125	34.841	65.159	19.745	17.415	80.263	223.026	0.0	0.01	0.0	0.1	99.9	0.0	88.522	22.047	2.6	19.02	21.326		长4+5!1^(1_1)
耿60	2365.250	42.261	57.739	14.286	16.901	81.634	226.209	0.0	0.01	0.0	0.1	99.9	0.0	99.004	22.049	2.609	19.68	16.471		长4+5!1^(1_1)
耿60	2365.375	51.975	48.025	14.103	15.237	82.198	227.815	0.0	0.01	0.0	0.1	99.9	0.0	108.072	22.047	2.622	19.26	14.176		长4+5!1^(1_1)
耿60	2365.500	58.738	41.262	12.819	14.366	82.476	231.475	0.0	0.01	0.0	0.1	99.9	0.0	112.275	22.048	2.634	19.11	13.333		长4+5!1^(1_1)
耿60	2365.625	62.009	37.991	11.829	13.447	82.414	235.82	0.0	0.01	0.0	0.1	99.9	0.0	114.123	22.048	2.641	19.55	12.225		长4+5!1^(1_1)
耿60	2365.750	63.182	36.818	11.84	13.407	81.938	239.578	0.0	0.01	0.0	0.1	99.9	0.0	114.515	22.047	2.64	20.39	11.836		长4+5!1^(1_1)
耿60	2365.875	63.409	36.591	12.943	14.382	81.145	242.817	0.0	0.01	0.0	0.1	99.9	0.0	114.565	22.047	2.634	21.1	12.501		长4+5!1^(1_1)
耿60	2366.000	67.239	32.761	12.214	12.594	80.837	244.08	0.0	0.01	0.0	0.1	99.9	0.0	119.606	22.044	2.624	21.01	12.505		长4+5!1^(1_1)
耿60	2366.125	76.312	23.688	11.187	10.214	81.001	243.079	0.0	0.01	0.0	0.1	99.9	0.0	127.574	22.046	2.609	18.61	11.598		长4+5!1^(1_1)
耿60	2366.250	87.47	12.53	10.483	10.586	79.913	239.806	0.0	0.01	0.0	0.1	99.9	0.0	135.096	22.047	2.602	16.3	10.765		长4+5!1^(1_1)
耿60	2366.375	94.326	5.674	15.498	14.651	76.791	235.814	0.0	0.01	0.0	0.1	99.9	0.0	137.506	22.046	2.606	14.43	13.49		长4+5!1^(1_1)
耿60	2366.500	90.95	9.05	21.531	23.271	73.084	232.049	0.0	0.01	0.0	0.1	99.9	0.0	132.295	22.046	2.619	13.45	19.115		长4+5!1^(1_1)
耿60	2366.625	77.444	22.556	16.572	18.705	72.248	227.606	0.0	0.01	0.0	0.1	99.9	0.0	120.251	22.047	2.632	13.99	18.558		长4+5!1^(1_1)
耿60	2366.750	62.302	37.698	13.022	16.266	72.197	221.645	0.0	0.01	0.0	0.1	99.9	0.0	108.883	22.049	2.633	14.27	14.444		长4+5!1^(1_1)
耿60	2366.875	52.117	47.883	13.24	14.62	72.019	215.802	0.0	0.01	0.0	0.1	99.9	0.0	101.773	22.048	2.635	13.35	13.153		长4+5!1^(1_1)
耿60	2367.000	46.017	53.983	15.421	16.706	70.046	211.144	0.0	0.01	0.0	0.1	99.9	0.0	96.784	22.047	2.638	11.61	14.548		长4+5!1^(1_1)
耿60	2367.125	41.298	58.702	21.047	22.873	66.998	206.902	0.0	0.01	0.0	0.1	99.9	0.0	92.009	22.047	2.637	10.01	18.794		长4+5!1^(1_1)
耿60	2367.250	36.613	63.387	30.4	33.593	64.324	203.677	0.0	0.01	0.0	0.1	99.9	0.0	86.6	22.048	2.628	9.5	26.655		长4+5!1^(1_1)
耿60	2367.375	32.706	67.294	48.919	49.862	62.888	201.794	0.0	0.01	0.0	0.1	99.9	0.0	82.64	22.056	2.605	10.34	41.504		长4+5!1^(1_1)
耿60	2367.500	32.13	67.87	21.996	22.739	59.996	199.917	0.0	0.01	0.0	0.1	99.9	0.0	84.159	22.099	2.58	13.31	32.775		长4+5!1^(1_1)
耿60	2367.625	35.263	64.737	16.674	18.413	57.023	203.388	0.0	0.01	0.0	0.1	99.9	0.0	89.272	22.15	2.545	16.48	18.805		长4+5!1^(1_1)
耿60	2367.750	40.135	59.865	20.208	22.402	54.728	211.574	0.0	0.01	0.0	0.1	99.9	0.0	94.924	22.226	2.513	19.4	18.793		长4+5!1^(1_1)
耿60	2367.875	44.731	55.269	24.566	23.743	53.087	218.559	0.0	0.01	0.0	0.1	99.9	0.0	99.214	22.3	2.488	21.27	22.821		长4+5!1^(1_2)
耿60	2368.000	47.968	52.032	16.074	15.788	51.476	223.004	0.0	0.01	0.0	0.1	99.9	0.0	101.755	22.309	2.471	21.32	19.474		长4+5!1^(1_2)
耿60	2368.125	50.262	49.738	14.295	13.63	50.246	226.051	0.0	0.01	0.0	0.1	99.9	0.0	103.746	22.31	2.469	21.43	15.007		长4+5!1^(1_2)
耿60	2368.250	53.686	46.314	13.011	13.184	48.884	227.466	0.0	0.01	0.0	0.1	99.9	0.0	107.7	22.312	2.469	20.77	13.525		长4+5!1^(1_2)
耿60	2368.375	57.493	42.507	11.17	11.678	47.63	227.808	0.0	0.01	0.0	0.1	99.9	0.0	110.741	22.313	2.477	20.51	11.907		长4+5!1^(1_2)
耿60	2368.500	60.334	39.666	10.931	11.195	46.747	227.993	0.0	0.01	0.0	0.1	99.9	0.0	112.799	22.311	2.488	20.32	11.027		长4+5!1^(1_2)
耿60	2368.625	62.239	37.761	10.407	10.475	46.256	227.985	0.0	0.01	0.0	0.1	99.9	0.0	114.096	22.31	2.497	19.92	10.617		长4+5!1^(1_2)
耿60	2368.750	62.582	37.418	11.324	11.359	45.641	227.987	0.0	0.01	0.0	0.1	99.9	0.0	113.709	22.313	2.503	20.1	10.957		长4+5!1^(1_2)
耿60	2368.875	59.702	40.298	12.992	12.903	44.576	228.662	0.0	0.01	0.0	0.1	99.9	0.0	109.896	22.311	2.509	19.49	12.324		长4+5!1^(1_2)
耿60	2369.000	38.324	61.676	14.951	14.845	43.964	229.384	0.11	0.163	7.847	7.109	83.838	0.487	100.947	22.31	2.509	19.15	14.167		长4+5!1^(1_2)
耿60	2369.125	22.47	77.53	16.638	16.535	43.64	231.061	0.212	0.337	9.18	11.933	70.131	0.444	89.819	22.309	2.508	18.61	15.963	水层	长4+5!1^(1_2)
耿60	2369.250	18.324	81.676	15.475	15.502	42.948	233.315	0.4	0.393	10.476	12.152	69.049	0.443	79.612	22.311	2.503	18.04	15.941	水层	长4+5!1^(1_2)
耿60	2369.375	15.382	84.618	15.328	15.667	41.27	234.694	0.606	0.427	11.322	12.285	69.607	0.454	72.861	22.314	2.493	17.88	15.387	水层	长4+5!1^(1_2)
耿60	2369.500	13.909	86.091	15.118	15.507	40.193	235.063	0.705	0.453	11.628	12.321	69.857	0.458	70.292	22.312	2.493	17.33	15.202	水层	长4+5!1^(1_2)
耿60	2369.625	13.503	86.497	14.753	15.071	39.612	235.629	0.744	0.459	11.739	12.376	70.302	0.465	69.787	22.31	2.496	17.05	14.899	水层	长4+5!1^(1_2)
耿60	2369.750	13.361	86.639	14.458	14.913	39.066	234.618	0.704	0.433	11.627	12.278	71.562	0.473	69.857	22.311	2.494	16.63	14.576	水层	长4+5!1^(1_2)
耿60	2369.875	13.051	86.949	14.452	14.932	38.457	232.098	0.635	0.397	11.417	12.034	73.088	0.476	69.351	22.311	2.489	16.44	14.455	水层	长4+5!1^(1_2)
耿60	2370.000	12.447	87.553	14.119	14.674	37.824	228.948	0.58	0.352	11.231	11.728	75.233	0.481	67.986	22.325	2.481	16.64	14.253	水层	长4+5!1^(1_2)
耿60	2370.125	11.797	88.203	14.381	14.847	37.313	225.951	0.527	0.323	11.038	11.437	76.766	0.481	66.841	22.393	2.48	16.9	14.276	水层	长4+5!1^(1_2)
耿60	2370.250	10.958	89.042	14.871	15.252	37.313	224.989	0.593	0.338	11.279	11.344	76.244	0.471	63.559	22.392	2.486	17.26	14.675	水层	长4+5!1^(1_2)
耿60	2370.375	10.806	89.194	14.855	15.438	37.513	226.353	0.611	0.366	11.337	11.476	75.022	0.466	64.361	22.391	2.495	17.76	14.861	水层	长4+5!1^(1_2)
耿60	2370.500	11.304	88.696	14.698	15.317	37.683	226.594	0.558	0.359	11.152	11.5	75.146	0.469	66.39	22.39	2.497	17.96	14.761	水层	长4+5!1^(1_2)
耿60	2370.625	11.814	88.186	14.65	15.301	37.732	225.188	0.47	0.33	10.804	11.363	76.143	0.471	68.325	22.39	2.503	17.73	14.669	水层	长4+5!1^(1_2)
耿60	2370.750	12.203	87.797	15.366	16.243	37.713	223.968	0.414	0.33	10.547	11.245	75.778	0.462	69.576	22.396	2.523	17.08	15.08	水层	长4+5!1^(1_2)
耿60	2370.875	12.027	87.973	16.25	17.265	37.918	223.033	0.423	0.354	10.589	11.154	74.316	0.444	68.231	22.424	2.523	15.9	15.896	水层	长4+5!1^(1_2)
耿60	2371.000	11.243	88.757	18.396	19.936	38.216	220.377	0.411	0.388	10.529	10.897	72.23	0.413	66.148	22.5	2.527	16.13	17.537	水层	长4+5!1^(1_2)
耿60	2371.125	10.421	89.579	17.779	19.456	38.77	218.557	0.42	0.383	10.574	10.72	72.157	0.404	63.888	22.528	2.517	16.7	18.026	水层	长4+5!1^(1_2)
耿60	2371.250	9.892	90.108	17.083	18.56	39.317	218.687	0.456	0.357	10.74	10.733	73.452	0.416	62.423	22.529	2.509	17.77	17.362	水层	长4+5!1^(1_2)
耿60	2371.375	9.793	90.207	16.216	17.637	39.65	219.802	0.484	0.337	10.862	10.841	74.575	0.43	62.371	22.536	2.511	18.82	16.563	水层	长4+5!1^(1_2)
耿60	2371.500	10.192	89.808	15.586	16.903	39.763	221.703	0.496	0.328	10.912	11.025	75.179	0.445	63.799	22.561	2.512	18.42	15.838	水层	长4+5!1^(1_2)
耿60	2371.625	11.394	88.606	14.974	15.7	40.225	223.958	0.441	0.32	10.676	11.244	75.432	0.459	68.324	22.641	2.499	18.33	15.219	水层	长4+5!1^(1_2)
耿60	2371.750	12.455	87.545	14.558	15.269	40.645	225.615	0.438	0.309	10.658	11.405	75.77	0.47	70.152	22.682	2.489	17.92	14.724	水层	长4+5!1^(1_2)
耿60	2371.875	12.74	87.26	14.149	14.937	40.994	226.533	0.462	0.297	10.77	11.494	76.35	0.48	69.992	22.696	2.482	17.57	14.312	水层	长4+5!1^(1_2)
耿60	2372.000	12.362	87.638	13.774	15.032	41.435	225.398	0.467	0.266	10.791	11.384	78.049	0.49	68.66	22.708	2.481	17.14	13.924	水层	长4+5!1^(1_2)
耿60	2372.125	11.794	88.206	14.662	16.364	42.187	224.791	0.496	0.273	10.913	11.325	77.352	0.48	66.873	22.752	2.487	16.82	14.306	水层	长4+5!1^(1_2)
耿60	2372.250	11.349	88.651	14.977	15.448	43.417	226.987	0.617	0.317	11.36	11.538	74.725	0.466	64.785	22.856	2.504	18.76	14.851	水层	长4+5!1^(1_2)
耿60	2372.375	10.781	89.219	12.963	15.243	44.839	227.949	0.721	0.275	11.675	11.631	77.211	0.493	62.712	22.878	2.512	24.23	13.769	水层	长4+5!1^(1_2)
耿60	2372.500	10.435	89.565	14.273	16.442	46.786	229.376	0.821	0.277	11.939	11.77	76.439	0.493	61.612	22.899	2.438	32.25	13.749	水层	长4+5!1^(1_2)
耿60	2372.625	10.975	89.025	12.397	14.418	49.37	232.134	0.834	0.259	11.971	12.037	76.729	0.51	64.065	22.947	2.376	38.02	13.148	水层	长4+5!1^(1_2)
耿60	2372.750	13.106	86.894	11.529	13.395	52.31	236.265	0.703	0.213	11.624	12.438	78.445	0.551	71.535	23.338	2.366	37.83	11.877	水层	长4+5!1^(1_2)
耿60	2372.875	17.277	82.723	5.531	5.751	55.03	240.559	0.464	0.112	10.776	12.854	91.346	0.746	83.985	24.55	2.375	30.52	7.933	水层	长4+5!1^(1_2)
耿60	2373.000	36.834	63.166	5.433	5.814	57.798	241.266	0.0	0.027	0.0	5.266	99.9	0.0	101.315	25.539	2.51	24.12	5.472	水层	长4+5!1^(1_2)
耿60	2373.125	56.702	43.298	11.275	13.292	60.781	236.989	0.0	0.01	0.0	0.1	99.9	0.0	113.501	24.781	2.568	20.34	8.936		长4+5!1^(1_2)
耿60	2373.250	67.404	32.596	16.648	18.995	62.824	235.621	0.0	0.01	0.0	0.1	99.9	0.0	120.475	23.72	2.604	18.31	14.497		长4+5!1^(1_2)
耿60	2373.375	71.791	28.209	12.603	15.595	64.627	234.686	0.0	0.01	0.0	0.1	99.9	0.0	121.578	23.1	2.629	17.21	14.222		长4+5!1^(1_2)
耿60	2373.500	69.696	30.304	10.763	16.175	66.948	231.236	0.0	0.01	0.0	0.1	99.9	0.0	118.151	23.12	2.641	16.51	11.499		长4+5!1^(1_2)
耿60	2373.625	66.692	33.308	14.703	20.564	69.101	228.748	0.0	0.01	0.0	0.1	99.9	0.0	116.547	23.202	2.636	16.53	13.126		长4+5!1^(1_2)
耿60	2373.750	63.846	36.154	14.688	21.817	70.565	229.581	0.0	0.01	0.0	0.1	99.9	0.0	113.785	23.242	2.63	17.63	14.694		长4+5!1^(1_2)
耿60	2373.875	63.983	36.017	14.198	34.902	72.191	232.927	0.0	0.01	0.0	0.1	99.9	0.0	115.824	23.252	2.616	19.05	14.394		长4+5!1^(1_2)
耿60	2374.000	67.902	32.098	28.167	33.59	73.829	239.232	0.0	0.01	0.0	0.1	99.9	0.0	119.661	23.256	2.601	20.62	22.574		长4+5!1^(1_2)
耿60	2374.125	74.3	25.7	16.869	18.66	75.48	245.673	0.0	0.01	0.0	0.1	99.9	0.0	125.17	23.277	2.584	23.25	21.393		长4+5!1^(1_2)
耿60	2374.250	84.72	15.28	10.677	9.842	77.291	256.004	0.0	0.01	0.0	0.1	99.9	0.0	133.617	23.327	2.541	28.49	13.156		长4+5!1^(1_2)
耿60	2374.375	90.322	9.678	10.082	7.81	79.291	270.997	0.0	0.01	0.0	0.1	99.9	0.0	134.29	23.331	2.333	37.37	10.32		长4+5!1^(1_2)
耿60	2374.500	91.376	8.624	8.469	6.538	80.98	262.118	0.0	0.01	0.0	0.1	99.9	0.0	134.964	23.344	2.152	51.18	9.115		长4+5!1^(1_2)
耿60	2374.625	89.948	10.052	4.384	3.375	82.488	255.083	0.0	0.01	0.0	0.1	99.9	0.0	132.981	24.387	2.062	54.57	6.02		长4+5!1^(1_2)
耿60	2374.750	86.828	13.172	4.688	3.621	83.749	258.411	0.0	0.01	0.0	0.1	99.9	0.0	130.912	25.537	2.07	47.54	4.566		长4+5!1^(1_2)
耿60	2374.875	84.675	15.325	12.14	6.464	84.774	258.851	0.0	0.01	0.0	0.1	99.9	0.0	129.909	26.119	2.164	35.33	9.156		长4+5!1^(1_2)
