井名	深度	GR	SP	SH	AT90	AC	PERM	POR	SW	CNL	DEN	RT	解释结论	层位
涧39	2268.125	103.486	62.881	59.323	14.142	254.393	0.01	0.1	99.9	27.124	2.594	14.197		chang4+5
涧39	2268.250	100.699	62.545	53.513	13.139	254.456	0.01	0.1	99.9	29.291	2.583	13.161		chang4+5
涧39	2268.375	94.379	62.008	45.264	12.705	246.388	0.01	0.1	99.9	28.622	2.579	12.743		chang4+5
涧39	2268.500	85.553	61.32	35.382	11.953	237.769	0.01	0.1	99.9	26.13	2.579	12.016		chang4+5
涧39	2268.625	77.691	60.604	29.125	10.753	232.9	0.01	0.1	99.9	23.665	2.577	10.816		chang4+5
涧39	2268.750	75.563	60.08	29.48	9.567	231.511	0.01	0.1	99.9	22.242	2.568	9.617		chang4+5
涧39	2268.875	78.844	59.919	33.812	8.647	230.927	0.01	0.1	99.9	21.704	2.554	8.676		chang4+5
涧39	2269.000	83.119	60.24	37.63	8.123	230.614	0.01	0.1	99.9	21.544	2.538	8.127		chang4+5
涧39	2269.125	87.595	61.048	42.446	8.089	231.798	0.01	0.1	99.9	21.638	2.528	8.06		chang4+5
涧39	2269.250	93.977	62.283	50.468	8.655	237.743	0.01	0.1	99.9	22.175	2.525	8.599		chang4+5
涧39	2269.375	102.043	63.708	60.942	9.738	249.078	0.01	0.1	99.9	22.889	2.526	9.669		chang4+5
涧39	2269.500	109.131	65.159	69.601	11.042	262.698	0.01	0.1	99.9	22.754	2.526	10.988		chang4+5
涧39	2269.625	110.557	66.482	67.915	12.055	271.551	0.01	0.1	99.9	20.662	2.526	12.025		chang4+5
涧39	2269.750	103.574	67.496	54.723	12.648	266.58	0.01	0.1	99.9	17.782	2.528	12.594		chang4+5
涧39	2269.875	90.085	68.156	37.884	13.732	249.63	0.01	0.1	99.9	15.88	2.538	13.606		chang4+5
涧39	2270.000	79.141	68.457	15.229	16.156	228.38	0.08	8.355	81.981	15.501	2.558	15.988	干层	chang4+5
涧39	2270.125	76.227	68.461	15.279	19.239	212.445	0.043	7.243	86.345	16.149	2.583	19.178	干层	chang4+5
涧39	2270.250	77.925	68.261	16.295	20.225	208.157	0.022	6.229	97.529	16.943	2.605	20.323	干层	chang4+5
涧39	2270.375	79.074	67.992	16.461	18.346	210.523	0.013	5.569	99.9	17.345	2.619	18.466	干层	chang4+5
涧39	2270.500	78.594	67.71	16.075	16.138	213.814	0.011	5.373	99.9	17.331	2.622	16.201	干层	chang4+5
涧39	2270.625	78.034	67.458	15.934	14.991	214.837	0.014	5.583	99.9	17.262	2.617	15.008	干层	chang4+5
涧39	2270.750	79.705	67.293	17.051	14.693	213.596	0.017	5.909	99.9	17.426	2.61	14.694	干层	chang4+5
涧39	2270.875	84.78	67.239	19.713	14.679	212.035	0.021	6.186	99.9	17.857	2.604	14.674	干层	chang4+5
涧39	2271.000	93.429	67.301	50.898	14.794	213.192	0.01	0.1	99.9	18.827	2.6	14.783		chang4+5
涧39	2271.125	107.23	67.45	71.643	14.95	223.597	0.01	0.1	99.9	21.481	2.59	14.988		chang4+5
涧39	2271.250	123.379	67.618	98.241	14.153	251.711	0.01	0.1	99.9	26.53	2.564	14.268		chang4+5
涧39	2271.375	134.77	67.716	99.9	11.976	289.591	0.01	0.1	99.9	33.046	2.522	12.087		chang4+5
涧39	2271.500	137.623	67.668	99.9	9.945	321.224	0.01	0.1	99.9	38.442	2.48	9.983		chang4+5
涧39	2271.625	135.534	67.402	99.9	9.306	331.797	0.01	0.1	99.9	40.07	2.463	9.265		chang4+5
涧39	2271.750	129.652	66.822	94.712	10.098	316.416	0.01	0.1	99.9	38.177	2.475	10.029		chang4+5
涧39	2271.875	120.959	65.95	79.091	11.36	290.748	0.01	0.1	99.9	34.493	2.508	11.342		chang4+5
涧39	2272.000	108.56	64.816	59.253	11.668	266.823	0.01	0.1	99.9	30.334	2.551	11.668		chang4+5
涧39	2272.125	92.99	63.493	40.42	11.76	249.936	0.01	0.1	99.9	26.264	2.584	11.68		chang4+5
涧39	2272.250	79.109	62.09	17.074	13.419	238.532	0.026	6.467	99.9	22.629	2.598	13.193		chang4+5
涧39	2272.375	69.379	60.745	13.381	17.853	228.469	0.028	6.588	99.411	19.922	2.594	17.484	干层	chang4+5
涧39	2272.500	64.98	59.556	12.375	24.718	220.567	0.037	7.004	79.043	18.45	2.585	24.473	干层	chang4+5
涧39	2272.625	64.996	58.595	12.918	28.964	217.323	0.042	7.233	70.156	18.132	2.58	29.126	干层	chang4+5
涧39	2272.750	67.027	57.955	13.969	25.809	219.378	0.043	7.278	73.707	18.522	2.579	26.061	干层	chang4+5
涧39	2272.875	69.484	57.617	15.062	21.109	223.02	0.045	7.327	81.036	19.189	2.578	21.272	干层	chang4+5
涧39	2273.000	70.783	57.584	15.365	18.106	226.005	0.051	7.562	84.947	19.791	2.572	18.176	干层	chang4+5
涧39	2273.125	71.346	57.861	15.592	16.839	227.691	0.067	8.028	83.106	20.012	2.561	16.851		chang4+5
涧39	2273.250	75.968	58.499	31.815	16.645	228.072	0.01	0.1	99.9	19.831	2.554	16.633		chang4+5
涧39	2273.375	88.641	59.442	47.76	16.896	227.995	0.01	0.1	99.9	19.561	2.561	16.866		chang4+5
涧39	2273.500	101.506	60.663	61.52	17.49	228.979	0.01	0.1	99.9	19.8	2.578	17.444		chang4+5
涧39	2273.625	105.597	62.107	61.843	18.346	232.242	0.01	0.1	99.9	20.852	2.597	18.308		chang4+5
涧39	2273.750	103.846	63.695	58.201	19.041	236.005	0.01	0.1	99.9	21.86	2.612	19.029		chang4+5
涧39	2273.875	100.006	65.297	52.8	19.259	235.866	0.01	0.1	99.9	21.848	2.623	19.264		chang4+5
涧39	2274.000	98.448	66.824	52.741	19.131	230.724	0.01	0.1	99.9	21.05	2.634	19.162		chang4+5
涧39	2274.125	97.683	68.203	51.384	18.502	224.208	0.01	0.1	99.9	20.816	2.646	18.581		chang4+5
涧39	2274.250	96.191	69.367	49.438	16.999	222.362	0.01	0.1	99.9	21.432	2.655	17.07		chang4+5
涧39	2274.375	98.068	70.347	53.879	15.694	227.331	0.01	0.1	99.9	21.917	2.646	15.719		chang4+5
涧39	2274.500	104.38	71.175	63.659	15.208	239.715	0.01	0.1	99.9	21.829	2.596	15.244		chang4+5
涧39	2274.625	108.719	71.883	67.17	14.435	258.89	0.01	0.1	99.9	22.433	2.507	14.55		chang4+5
涧39	2274.750	109.635	72.48	67.223	12.235	280.589	0.01	0.1	99.9	24.987	2.402	12.359		chang4+5
涧39	2274.875	109.265	72.993	66.407	9.958	296.289	0.01	0.1	99.9	28.871	2.318	9.999		chang4+5
涧39	2275.000	107.816	73.431	63.805	9.261	300.167	0.01	0.1	99.9	31.974	2.29	9.216		chang4+5
涧39	2275.125	103.382	73.794	56.323	10.2	291.453	0.01	0.1	99.9	32.683	2.316	10.071		chang4+5
涧39	2275.250	95.623	74.059	46.013	12.696	274.971	0.01	0.1	99.9	31.607	2.383	12.519		chang4+5
涧39	2275.375	88.353	74.226	39.227	16.041	259.215	0.01	0.1	99.9	29.935	2.469	15.867		chang4+5
涧39	2275.500	88.865	74.289	43.601	19.31	246.573	0.01	0.1	99.9	28.047	2.532	19.174		chang4+5
涧39	2275.625	98.455	74.248	58.095	21.754	237.434	0.01	0.1	99.9	26.677	2.538	21.755		chang4+5
涧39	2275.750	113.625	74.086	81.782	21.576	238.979	0.01	0.1	99.9	27.974	2.482	21.728		chang4+5
涧39	2275.875	130.243	73.809	99.9	18.681	258.854	0.01	0.1	99.9	33.616	2.384	18.839		chang4+5
涧39	2276.000	146.447	73.411	99.9	15.788	294.904	0.01	0.1	99.9	42.446	2.284	15.847		chang4+5
涧39	2276.125	157.726	72.895	99.9	14.75	331.402	0.01	0.1	99.9	50.156	2.212	14.727		chang4+5
涧39	2276.250	159.125	72.258	99.9	15.178	348.303	0.01	0.1	99.9	54.071	2.178	15.172		chang4+5
涧39	2276.375	151.471	71.529	99.9	15.194	346.147	0.01	0.1	99.9	53.838	2.185	15.287		chang4+5
涧39	2276.500	136.353	70.718	99.9	13.408	332.181	0.01	0.1	99.9	49.976	2.229	13.516		chang4+5
涧39	2276.625	119.092	69.837	72.241	11.394	311.252	0.01	0.1	99.9	43.097	2.291	11.461		chang4+5
