井名	深度	GR	SP	SH	AT90	AC	PERM	POR	SW	DEN	RT	解释结论	层位
地308-61	2338.000	74.787	51.484	12.388	83.212	211.836	0.010	9.975	41.870	2.560	83.118		chang4+5
地308-61	2338.125	76.173	51.379	12.966	80.630	210.836	0.010	9.969	42.903	2.574	79.235	差油层	chang4+5
地308-61	2338.250	79.180	51.446	14.409	77.565	212.661	0.357	10.249	42.621	2.567	76.628	差油层	chang4+5
地308-61	2338.375	82.619	51.666	15.956	75.925	216.570	0.429	10.684	41.449	2.545	75.530	差油层	chang4+5
地308-61	2338.500	82.817	51.985	15.873	75.563	221.305	0.519	11.157	39.948	2.520	75.582	差油层	chang4+5
地308-61	2338.625	81.632	52.352	15.913	77.402	225.650	0.604	11.549	38.089	2.500	78.423	差油层	chang4+5
地308-61	2338.750	83.512	52.712	17.375	81.701	228.560	0.657	11.770	36.320	2.494	83.539	差油层	chang4+5
地308-61	2338.875	86.849	53.016	18.686	84.051	230.033	0.682	11.869	35.892	2.495	84.338	差油层	chang4+5
地308-61	2339.000	89.017	53.241	19.321	80.483	230.649	0.691	11.907	37.147	2.500	78.320	差油层	chang4+5
地308-61	2339.125	89.710	53.381	19.413	73.421	230.865	0.694	11.918	39.073	2.503	70.673	差油层	chang4+5
地308-61	2339.250	87.986	53.424	18.342	65.784	230.887	0.693	11.915	41.379	2.504	63.042	差油层	chang4+5
地308-61	2339.375	85.846	53.362	17.675	57.449	230.797	0.690	11.903	44.618	2.506	54.311	差油层	chang4+5
地308-61	2339.500	87.886	53.189	19.212	49.581	230.558	0.683	11.874	48.101	2.508	46.928	差油层	chang4+5
地308-61	2339.625	94.073	52.915	22.060	44.418	230.039	0.667	11.812	50.467	2.509	43.011	差油层	chang4+5
地308-61	2339.750	95.988	52.577	21.502	42.958	229.230	0.646	11.724	50.834	2.510	42.928	差油层	chang4+5
地308-61	2339.875	91.169	52.239	18.703	45.194	228.375	0.626	11.644	49.145	2.513	46.465	差油层	chang4+5
地308-61	2340.000	83.128	51.932	15.517	50.908	227.767	0.615	11.597	45.999	2.515	53.400	差油层	chang4+5
地308-61	2340.125	77.028	51.659	13.964	57.706	227.675	0.618	11.609	43.313	2.516	60.122	差油层	chang4+5
地308-61	2340.250	77.459	51.429	15.144	59.218	228.303	0.639	11.697	43.551	2.515	58.712	差油层	chang4+5
地308-61	2340.375	82.843	51.270	17.566	53.459	229.313	0.664	11.801	46.605	2.518	50.512	差油层	chang4+5
地308-61	2340.500	90.173	51.208	20.610	44.562	230.171	0.682	11.873	51.325	2.528	41.224	差油层	chang4+5
地308-61	2340.625	96.978	51.242	23.275	36.518	230.892	0.700	11.941	56.341	2.545	33.878	差油层	chang4+5
地308-61	2340.750	101.277	51.354	24.823	30.759	232.013	0.734	12.073	60.327	2.564	29.009	差油层	chang4+5
地308-61	2340.875	104.348	51.515	26.316	27.407	233.233	0.765	12.184	62.624	2.580	26.508	差油层	chang4+5
地308-61	2341.000	107.223	51.708	27.511	26.852	233.095	0.742	12.100	62.357	2.591	27.046	差油层	chang4+5
地308-61	2341.125	106.639	51.910	25.844	29.621	230.127	0.639	11.698	59.870	2.597	31.065	差油层	chang4+5
地308-61	2341.250	98.352	52.081	20.150	36.756	224.092	0.490	11.010	55.566	2.601	39.948	差油层	chang4+5
地308-61	2341.375	85.765	52.213	28.332	49.102	217.136	0.010	0.100	99.900	2.605	54.238	差油层	chang4+5
地308-61	2341.500	76.804	52.352	23.617	65.426	212.087	0.010	0.100	99.900	2.602	71.702	差油层	chang4+5
地308-61	2341.625	71.777	52.549	20.841	79.115	210.765	0.010	0.100	99.900	2.585	83.273		chang4+5
