井名	深度	GR	SP	SH	RT	AC	PERM	POR	SW	CNL	DEN	RT.1	解释结论	层位
地199-48	2295.500	120.701	1.349	69.757	13.233	259.737	0.01	0.1	99.9	21.044	2.622	13.304		chang4+5
地199-48	2295.625	121.769	1.437	71.523	12.702	268.253	0.01	0.1	99.9	22.111	2.613	12.788		chang4+5
地199-48	2295.750	125.884	1.476	77.956	12.068	278.515	0.01	0.1	99.9	24.966	2.6	12.161		chang4+5
地199-48	2295.875	133.675	1.482	90.673	11.357	290.914	0.01	0.1	99.9	29.121	2.565	11.477		chang4+5
地199-48	2296.000	143.371	1.46	99.9	10.435	304.275	0.01	0.1	99.9	33.718	2.497	10.598		chang4+5
地199-48	2296.125	152.062	1.418	99.9	9.254	315.819	0.01	0.1	99.9	37.047	2.406	9.406		chang4+5
地199-48	2296.250	152.936	1.36	99.9	8.204	322.257	0.01	0.1	99.9	37.847	2.335	8.293		chang4+5
地199-48	2296.375	145.154	1.291	99.9	7.615	323.697	0.01	0.1	99.9	36.064	2.337	7.638		chang4+5
地199-48	2296.500	136.317	1.212	92.499	7.482	321.647	0.01	0.1	99.9	32.657	2.416	7.475		chang4+5
地199-48	2296.625	132.922	1.114	88.42	7.542	317.309	0.01	0.1	99.9	29.837	2.516	7.529		chang4+5
地199-48	2296.750	128.44	0.991	80.442	7.664	310.652	0.01	0.1	99.9	28.238	2.591	7.623		chang4+5
地199-48	2296.875	120.204	0.852	68.092	8.048	302.238	0.01	0.1	99.9	27.474	2.607	7.927		chang4+5
地199-48	2297.000	112.288	0.708	58.321	9.037	293.102	0.01	0.1	99.9	27.382	2.582	8.815		chang4+5
地199-48	2297.125	104.03	0.566	48.578	10.754	283.409	0.01	0.1	99.9	26.519	2.548	10.443		chang4+5
地199-48	2297.250	94.688	0.415	38.72	13.016	273.288	0.01	0.1	99.9	24.048	2.558	12.718		chang4+5
地199-48	2297.375	90.655	0.241	36.052	15.135	262.229	0.01	0.1	99.9	20.052	2.606	14.897		chang4+5
地199-48	2297.500	91.069	0.038	36.977	16.832	250.406	0.01	0.1	99.9	15.671	2.645	16.636		chang4+5
地199-48	2297.625	89.299	-0.192	34.906	18.201	239.154	0.01	0.1	99.9	13.51	2.651	18.069		chang4+5
地199-48	2297.750	81.32	-0.463	27.228	19.053	230.289	0.01	0.1	99.9	12.906	2.648	19.038		chang4+5
地199-48	2297.875	74.161	-0.789	22.164	19.069	225.682	0.01	0.1	99.9	13.097	2.646	19.149		chang4+5
地199-48	2298.000	77.486	-1.166	25.081	18.47	225.649	0.01	0.1	99.9	13.585	2.639	18.559		chang4+5
地199-48	2298.125	88.963	-1.549	35.964	17.839	228.052	0.01	0.1	99.9	14.684	2.621	17.91		chang4+5
地199-48	2298.250	99.442	-1.879	45.626	17.306	231.774	0.01	0.1	99.9	16.607	2.599	17.388		chang4+5
地199-48	2298.375	105.709	-2.115	52.185	16.677	235.84	0.01	0.1	99.9	18.315	2.585	16.788		chang4+5
地199-48	2298.500	109.198	-2.27	56.265	15.859	238.957	0.01	0.1	99.9	19.545	2.581	15.976		chang4+5
地199-48	2298.625	107.829	-2.396	53.61	15.033	240.4	0.01	0.1	99.9	20.119	2.586	15.116		chang4+5
地199-48	2298.750	98.481	-2.531	42.765	14.461	240.647	0.01	0.1	99.9	19.34	2.588	14.514		chang4+5
地199-48	2298.875	86.28	-2.684	31.072	14.088	240.512	0.01	0.1	99.9	17.441	2.578	14.126		chang4+5
地199-48	2299.000	79.39	-2.84	25.731	13.834	240.733	0.01	0.1	99.9	15.971	2.565	13.849		chang4+5
地199-48	2299.125	84.388	-2.975	31.351	13.736	241.752	0.01	0.1	99.9	15.833	2.561	13.74	干层	chang4+5
地199-48	2299.250	97.814	-3.05	44.686	13.685	242.917	0.01	0.1	99.9	17.335	2.566	13.711	干层	chang4+5
地199-48	2299.375	105.27	-3.017	51.983	13.465	244.082	0.01	0.1	99.9	20.07	2.565	13.52	干层	chang4+5
地199-48	2299.500	103.024	-2.835	48.078	13.048	245.061	0.01	0.1	99.9	22.059	2.559	13.116	干层	chang4+5
地199-48	2299.625	97.105	-2.516	41.934	12.555	245.494	0.01	0.1	99.9	21.864	2.558	12.615	干层	chang4+5
地199-48	2299.750	89.366	-2.112	34.081	12.128	245.506	0.01	0.1	99.9	20.173	2.567	12.176	干层	chang4+5
地199-48	2299.875	81.435	-1.687	27.34	11.791	245.155	0.01	0.1	99.9	17.965	2.578	11.819	干层	chang4+5
地199-48	2300.000	79.699	-1.289	26.941	11.602	245.023	0.01	0.1	99.9	17.542	2.584	11.611	干层	chang4+5
地199-48	2300.125	87.838	-0.922	34.232	11.526	246.403	0.01	0.1	99.9	18.379	2.575	11.541	干层	chang4+5
地199-48	2300.250	100.57	-0.556	47.642	11.394	249.208	0.01	0.1	99.9	19.256	2.559	11.433	干层	chang4+5
地199-48	2300.375	114.688	-0.167	63.954	11.104	252.722	0.01	0.1	99.9	20.798	2.556	11.153	干层	chang4+5
地199-48	2300.500	125.984	0.242	79.777	10.762	255.961	0.01	0.1	99.9	22.409	2.558	10.792	干层	chang4+5
地199-48	2300.625	129.496	0.648	83.684	10.557	258.325	0.01	0.1	99.9	23.137	2.554	10.571	干层	chang4+5
地199-48	2300.750	125.62	1.017	75.668	10.439	259.614	0.01	0.1	99.9	23.148	2.546	10.475	干层	chang4+5
地199-48	2300.875	120.575	1.309	69.064	10.159	259.635	0.01	0.1	99.9	22.275	2.553	10.214	干层	chang4+5
地199-48	2301.000	120.197	1.487	70.196	9.808	258.552	0.01	0.1	99.9	21.376	2.569	9.815	干层	chang4+5
地199-48	2301.125	123.464	1.535	74.843	9.85	256.69	0.01	0.1	99.9	21.023	2.578	9.764	干层	chang4+5
地199-48	2301.250	119.623	1.453	67.862	10.545	254.134	0.01	0.1	99.9	20.587	2.587	10.39	干层	chang4+5
地199-48	2301.375	108.856	1.261	53.628	11.692	250.976	0.01	0.1	99.9	19.768	2.6	11.524	干层	chang4+5
地199-48	2301.500	98.264	0.978	42.176	12.889	247.26	0.01	0.1	99.9	18.248	2.622	12.755	干层	chang4+5
地199-48	2301.625	92.399	0.611	37.369	13.834	243.171	0.01	0.1	99.9	16.923	2.638	13.74	干层	chang4+5
地199-48	2301.750	92.28	0.166	37.981	14.502	238.93	0.01	0.1	99.9	16.74	2.642	14.428	干层	chang4+5
地199-48	2301.875	96.839	-0.362	42.775	15.043	234.696	0.01	0.1	99.9	16.853	2.645	14.97	干层	chang4+5
地199-48	2302.000	100.447	-0.967	46.032	15.593	231.081	0.01	0.1	99.9	16.871	2.654	15.501		chang4+5
地199-48	2302.125	104.336	-1.625	50.243	16.301	228.753	0.01	0.1	99.9	17.082	2.659	16.172		chang4+5
地199-48	2302.250	108.243	-2.324	55.432	17.287	227.413	0.01	0.1	99.9	17.456	2.659	17.116		chang4+5
地199-48	2302.375	109.697	-3.065	55.954	18.619	226.203	0.01	0.1	99.9	17.539	2.659	18.366		chang4+5
地199-48	2302.500	105.047	-3.849	50.225	20.589	224.442	0.01	0.1	99.9	17.262	2.661	20.214		chang4+5
地199-48	2302.625	92.183	-4.661	36.42	23.428	221.678	0.01	0.1	99.9	16.56	2.663	22.956		chang4+5
地199-48	2302.750	78.618	-5.474	13.472	26.903	218.245	1.865	10.342	46.086	15.325	2.655	26.403		chang4+5
地199-48	2302.875	70.942	-6.256	10.958	30.483	214.684	0.01	9.837	45.056	13.114	2.644	30.059		chang4+5
地199-48	2303.000	68.497	-6.968	10.094	33.438	211.747	0.01	9.395	44.597	10.725	2.645	33.159		chang4+5
