井名	深度	GR	SP	SH	SS	RT	RT.1	AC	PERM2024	PERM	POR2024	POR	SW	SW2024	CAL	DEN	CNL	RT.2	解释结论	层位
耿203	2229.000	73.097	53.493	24.923	75.077	10.924	12.191	209.401	0.0	0.01	0.0	0.1	99.9	0.0	24.693	2.541	16.984	10.712		长4+5!1^(1_1)
耿203	2229.125	72.097	52.859	24.313	75.687	10.602	10.982	213.785	0.0	0.01	0.0	0.1	99.9	0.0	24.73	2.531	18.459	10.437		长4+5!1^(1_1)
耿203	2229.250	71.539	52.504	23.956	76.044	10.327	10.153	217.872	0.0	0.01	0.0	0.1	99.9	0.0	24.79	2.522	19.638	10.162		长4+5!1^(1_1)
耿203	2229.375	71.281	52.366	24.102	75.898	10.012	9.406	221.099	0.0	0.01	0.0	0.1	99.9	0.0	24.853	2.516	20.409	9.788		长4+5!1^(1_1)
耿203	2229.500	71.577	52.337	24.997	75.003	9.669	8.784	224.103	0.0	0.01	0.0	0.1	99.9	0.0	24.905	2.514	20.746	9.49		长4+5!1^(1_1)
耿203	2229.625	72.637	52.457	26.777	73.223	9.455	8.474	226.609	0.0	0.01	0.0	0.1	99.9	0.0	24.963	2.521	20.865	9.403		长4+5!1^(1_1)
耿203	2229.750	74.693	52.757	30.366	69.634	9.408	8.417	228.025	0.0	0.01	0.0	0.1	99.9	0.0	25.035	2.537	21.142	9.416		长4+5!1^(1_1)
耿203	2229.875	78.026	53.237	34.09	65.91	9.519	8.482	228.901	0.0	0.01	0.0	0.1	99.9	0.0	25.102	2.557	21.78	9.672		长4+5!1^(1_1)
耿203	2230.000	81.202	53.993	37.399	62.601	9.822	8.671	230.534	0.0	0.01	0.0	0.1	99.9	0.0	25.158	2.568	22.659	10.047		长4+5!1^(1_1)
耿203	2230.125	84.138	54.979	41.984	58.016	10.172	8.902	233.381	0.0	0.01	0.0	0.1	99.9	0.0	25.245	2.568	23.644	10.36		长4+5!1^(1_1)
耿203	2230.250	87.869	55.842	47.607	52.393	10.474	9.168	236.796	0.0	0.01	0.0	0.1	99.9	0.0	25.393	2.553	24.782	10.645		长4+5!1^(1_1)
耿203	2230.375	91.865	56.598	52.46	47.54	10.702	9.564	240.525	0.0	0.01	0.0	0.1	99.9	0.0	25.567	2.533	25.822	10.787		长4+5!1^(1_1)
耿203	2230.500	94.869	57.492	54.825	45.175	10.75	10.005	244.237	0.0	0.01	0.0	0.1	99.9	0.0	25.738	2.518	26.158	10.696		长4+5!1^(1_1)
耿203	2230.625	96.169	58.483	55.165	44.835	10.585	10.081	246.151	0.0	0.01	0.0	0.1	99.9	0.0	25.986	2.502	25.63	10.42		长4+5!1^(1_1)
耿203	2230.750	95.977	59.189	52.36	47.64	10.272	9.609	244.745	0.0	0.01	0.0	0.1	99.9	0.0	26.373	2.448	24.667	10.05		长4+5!1^(1_1)
耿203	2230.875	94.064	59.655	49.251	50.749	9.82	8.686	241.298	0.0	0.01	0.0	0.1	99.9	0.0	26.795	2.325	24.081	9.476		长4+5!1^(1_1)
耿203	2231.000	92.125	60.128	47.604	52.396	9.267	7.577	238.918	0.0	0.01	0.0	0.1	99.9	0.0	27.175	2.196	24.947	8.955		长4+5!1^(1_1)
耿203	2231.125	90.839	60.639	45.148	54.852	8.867	6.914	240.856	0.0	0.01	0.0	0.1	99.9	0.0	27.688	2.116	28.081	8.736		长4+5!1^(1_1)
